Rank,Coin Name,Symbol,Price,Market Cap,Volume (24h),24h % Change,7d % Change,30d % Change,1y % Change
110,"Conflux",CFX,0.216079,1104493711,763992582,-3.94901263383013,114.20638104751077,224.4989703986107,25.572031083225745
112,"Tezos",XTZ,0.985401,1036630003,154497967,-6.861091273290018,55.70805424248054,96.68728046050062,22.50530948435456
111,"Lido DAO",LDO,1.21,1084117943,328071254,0.5672082251928122,40.697218230784564,76.63632273689346,-37.43409114323497
146,"Binance-Peg Dogecoin",DOGE,0.271265,696473264,16134073,0.21812746932535995,39.24375152851525,74.8448158445448,94.93129854668305
101,"dogwifhat",WIF,1.3,1306647017,877212913,7.105265194493883,29.63545977334322,85.29882320905465,-53.5970348296312
129,"Pyth Network",PYTH,0.150576,867776198,90437844,5.283148275225523,28.953606185880616,67.54178742764748,-59.74593056333383
200,"Beam",BEAM,0.00875964,452000047,47234178,4.17386067663988,28.886197329134166,83.8949298537178,-54.934261696987996
143,"Helium",HNT,3.82,708867057,18120817,-1.5505386986608911,28.242459687338567,69.38263958392015,-23.427369988310065
165,"AIOZ Network",AIOZ,0.487034,581457730,32913120,17.4393397584623,28.00458681047917,70.2136459624951,-13.146983290782952
164,"Stader ETHx",ETHX,4017.87,588361670,917288,0.9485077115811514,26.914891654975136,66.73601546670626,10.090562205865226
175,"Arbitrum Bridged WETH (Arbitrum One)",WETH,3779.23,546830124,548921110,0.8802238363816374,26.510906951173446,66.64846907875686,
136,"Mantle Restaked ETH",CMETH,4035.03,803779308,11852243,0.9041900220112836,26.483665181273196,66.13466610858853,
134,"Super OETH",SUPEROETH,3786.84,825988228,782159,1.0643829509275127,26.419274390447413,66.74384966719535,
174,"Coinbase Wrapped Staked ETH",CBETH,4167.97,547951779,7728192,0.75793278659611,26.38451725544961,66.16547267686032,9.53366502019975
198,"Frax Ether",FRXETH,3772.29,454056149,4038597,1.1233712686391055,26.288327895757064,65.15562405724353,7.1712984244401605
151,"L2 Standard Bridged WETH (Base)",WETH,3782.17,657987947,461042161,0.9298120035694196,26.229568561422994,66.454850314955,
115,"Marinade Staked SOL",MSOL,266.78,1005140198,24198434,11.311603448470962,26.141402000849173,51.65755809714142,22.085282748504156
106,"Jupiter Staked SOL",JUPSOL,228.92,1238606084,23724586,11.534949189262358,26.012045443247278,51.524374152142705,23.159976437802623
145,"ether.fi Staked ETH",EETH,3764.8,705998081,466490,1.0370656495652648,25.978016455227742,65.51172662015414,6.583911131056245
195,"Wormhole",W,0.099238,466842005,81359246,5.809861922589205,25.854927222017576,74.38527643028182,-71.58286654101848
104,"Renzo Restaked ETH",EZETH,3968.37,1267386005,3201604,0.7532755894002483,25.760031043544696,66.38750492423792,10.83007164209012
191,"Movement",MOVE,0.185446,482086400,135590218,8.240403593301242,25.39486298225379,49.126782338765864,
123,"Raydium",RAY,3.49,937900858,214327187,19.638080276831396,25.35067817148654,79.85894034115891,36.944275213766595
187,"Swell Ethereum",SWETH,4083.85,495813725,391700,-0.46393466474690254,25.0335786572509,64.51111246134832,8.91037816043063
138,"cgETH Hashkey Cloud",CGETH.HASHKEY,3912.57,782281711,19.03,-0.9709615133638251,25.023597925330986,62.84175104199639,
127,"Ethereum Name Service",ENS,27.62,917273312,155634851,-2.689986119036556,23.87542201115171,57.49126582059906,2.0323606821641276
152,"Brett",BRETT,0.065934,655494436,46537039,5.476928673701022,23.656934020591322,75.86954830957966,-54.088523064434334
172,"Arweave",AR,8.4,550195769,65028401,-2.662821968100418,23.45265274212515,74.62941744295958,-74.94204388664517
135,"Jito",JTO,2.28,815483260,122960149,12.284742983999413,23.28061498458286,10.832906865286962,-17.779882761956255
121,"JasmyCoin",JASMY,0.01935202,939373746,124436673,2.956166168574487,23.053389899774267,70.46606388949756,-35.99362146485707
117,"Theta Network",THETA,0.965201,966256068,65971544,0.7156291942341106,23.033679924655473,56.681273181994285,-40.23515885942683
170,"Reserve Rights",RSR,0.0096012,564339669,41889905,-1.447632396507701,22.60515280120412,64.75606178369381,64.8334393169285
107,"Immutable",IMX,0.637099,1210529212,49465395,-1.059606257976479,21.821216013814254,72.01425826658121,-61.2002721886573
130,"Aerodrome Finance",AERO,0.990047,855300239,55817671,4.974743527081412,21.64334603035057,29.76436978828375,3.6269208469057013
125,"GALA",GALA,0.02041395,928737600,227820044,2.4361689477484636,20.940393534649086,56.56377747814116,-22.118979041031167
171,"Ether.fi",ETHFI,1.33,558585270,208297644,1.0994387803262613,19.457054262164174,54.72933730791618,-46.782491062393014
190,"EigenCloud (prev. EigenLayer)",EIGEN,1.54,487869979,123235100,-0.580222182619337,19.395387832850354,49.20674391360295,
184,"MultiversX",EGLD,17.89,510096011,29611722,1.5785741280169143,18.366618890302597,42.620032703780595,-51.609231390230434
194,"Axie Infinity",AXS,2.87,477173479,61244696,1.6891042857489251,18.063862703553323,37.039169539371535,-55.03261569321298
139,"Pendle",PENDLE,4.61,762685391,121614939,0.5443396824201587,17.641554987294082,32.36968007796218,2.4089420275026847
179,"dYdX",DYDX,0.699751,528729362,23523713,0.7315137788616253,17.63203935148181,55.75168657644021,-51.56040929007412
103,"Virtuals Protocol",VIRTUAL,1.94,1273660974,295967851,6.144526649053199,17.376774311033834,36.23035236842304,3011.95732859054
137,"Saros",SAROS,0.298158,783710817,12095058,8.149655527630603,17.224554193709963,43.59597008203804,12997.124767219779
109,"The Graph",GRT,0.114757,1139859097,86701986,-1.0342917544764514,17.12186590439008,50.466531217802455,-47.51720864695123
